grid_case;machine;size_bus;threads;ls_throughput;ls_percorethroughput;pgm_throughput;pgm_percorethroughput;powermodels_throughput;powermodels_percorethroughput;pp_throughput;pp_percorethroughput;olf_throughput;olf_percorethroughput;exapf_throughput;exapf_percorethroughput;rustpower_throughput;rustpower_percorethroughput
case118;rtx6k;118;64;275426.90390746645;4303.545373554163;115634.91941843675;1806.7956159130742;809.648603492454;12.650759429569593;3962.225904047382;61.90977975074034;8657.721884385965;135.2769044435307;;;131037.50256831266;2047.4609776298853
case118;rtx6k;118;96;;;135430.99857037046;1410.7395684413589;;;4644.755549972212;48.38287031221054;;;;;142707.92451096373;1486.540880322539
case118;rtx6k;118;128;291543.49519428174;2277.683556205326;114294.0381273884;892.9221728702219;;;4574.933278853745;35.74166624104488;8487.026798480514;66.30489686312902;;;144729.04055297663;1130.69562932013
case_ACTIVSg500;l20;500;1;4408.48220635377;4408.48220635377;1358.2550808584758;1358.2550808584758;121.0217868788459;121.0217868788459;121.65341180031078;121.65341180031078;;;;;;
case_ACTIVSg500;l20;500;2;8782.326561641687;4391.163280820843;2673.071415358403;1336.5357076792016;222.40342659077476;111.20171329538738;235.08853595594925;117.54426797797463;;;;;;
case_ACTIVSg500;l20;500;4;16404.050227270844;4101.012556817711;5338.676227512625;1334.6690568781562;363.6845824992088;90.9211456248022;474.18390383604265;118.54597595901066;;;;;;
case_ACTIVSg500;l20;500;8;30044.81506006267;3755.6018825078336;10604.197975482737;1325.5247469353421;320.7861597259053;40.09826996573816;914.5201844108188;114.31502305135236;;;;;;
case_ACTIVSg500;l20;500;16;46445.2340776214;2902.8271298513373;19170.974496740295;1198.1859060462684;316.3592454706923;19.77245284191827;1787.6785015230248;111.72990634518905;;;;;;
case_ACTIVSg500;l20;500;32;42916.13595392752;1341.129248560235;40027.110364183456;1250.847198880733;253.1157789273652;7.9098680914801625;3400.4174050829242;106.26304390884138;;;;;;
case_ACTIVSg500;l20;500;64;51527.31183707951;805.1142474543674;52853.58151192932;825.8372111238956;253.61110869648454;3.962673573382571;5773.636257385193;90.21306652164364;;;;;;
